in_btc,out_btc,total_btc,mean_in_btc,mean_out_btc,in_malicious,out_malicious,is_malicious,out_and_tx_malicious,all_malicious,vin_sz,vout_sz,size,fee,time,sat_per_byte
0.01,0.01,0.02,0.01,0.01,0,0,0,0,0,1,1,223,0,1300124979,0.0
48.91,48.91,97.82,48.91,24.455,0,0,0,0,0,1,2,257,0,1297379642,0.0
46.5,46.5,93.0,46.5,23.25,0,0,0,0,0,1,2,258,0,1300597728,0.0
10.0,10.0,20.0,10.0,10.0,0,0,0,0,0,1,1,224,0,1302978686,0.0
5.89,5.89,11.78,5.89,2.945,0,0,0,0,0,1,2,258,0,1300649736,0.0
100.0,100.0,200.0,50.0,100.0,0,0,0,0,0,2,1,273,0,1307814335,0.0
99.11,17.67,116.78,99.11,17.67,0,0,0,0,0,2,2,439,0,1300842692,0.0
4.34,4.33,8.67,4.34,2.165,0,0,0,0,0,1,2,258,1000000,1302754893,3875.968992248062
150.75000000000003,150.71,301.46000000000004,7.17857142857143,75.355,0,0,0,0,0,21,2,3659,4000000,1302521762,1093.1948619841487
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,134,0,1264587987,0.0
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,134,0,1302861533,0.0
5.0,5.0,10.0,2.5,5.0,0,0,0,0,0,2,1,404,0,1304116396,0.0
0.0,50.03,50.03,0.0,50.03,0,0,0,0,0,1,1,134,0,1302552706,0.0
50.01,50.010000000000005,100.02,50.01,25.005000000000003,0,0,0,0,0,1,2,192,0,1303706673,0.0
0.4,0.4,0.8,0.04,0.4,0,0,0,0,0,10,1,1842,0,1300901999,0.0
32.83,32.83,65.66,32.83,16.415,0,0,0,0,0,1,2,259,0,1302913120,0.0
190.35,176.4,366.75,190.35,176.4,0,0,0,0,0,1,2,258,0,1303324227,0.0
1.0,1.0,2.0,0.5,1.0,0,0,0,0,0,2,1,404,0,1307359143,0.0
7.11,7.1,14.21,7.11,3.55,0,0,0,0,0,1,2,258,1000000,1303215405,3875.968992248062
1.0,1.0,2.0,1.0,1.0,0,0,0,0,0,1,1,224,0,1301260291,0.0
10.98,10.98,21.96,10.98,5.49,0,0,0,0,0,1,2,258,0,1301239662,0.0
0.64,0.64,1.28,0.64,0.32,0,0,0,0,0,1,2,258,0,1303069932,0.0
1.26,1.2600000000000002,2.5200000000000005,1.26,0.6300000000000001,0,0,0,0,0,1,2,259,0,1301979790,0.0
0.01,0.01,0.02,0.01,0.01,0,0,0,0,0,1,1,224,0,1300680134,0.0
1.6,1.54,3.14,1.6,1.54,0,0,0,0,0,1,2,259,1000000,1300663487,3861.003861003861
10.09,10.09,20.18,10.09,5.045,0,0,0,0,0,1,2,259,0,1306237048,0.0
0.0,50.0,50.0,0.0,50.0,0,0,0,0,0,1,1,135,0,1273431052,0.0
2.7,2.7,5.4,2.7,1.35,0,0,0,0,0,1,2,258,0,1303334425,0.0
124.64,84.21000000000001,208.85,124.64,84.21000000000001,0,0,0,0,0,2,2,437,0,1301634585,0.0
5.23,5.23,10.46,5.23,2.615,0,0,0,0,0,1,2,258,0,1301898511,0.0
10.71,10.7,21.410000000000004,10.71,5.3500000000000005,0,0,0,0,0,1,2,257,1000000,1300894207,3891.0505836575876
