tx_hash,indegree,outdegree,in_btc,out_btc,total_btc,mean_in_btc,mean_out_btc,in_malicious,out_malicious,is_malicious,out_and_tx_malicious,all_malicious
7a4acac08d92f6f88278ea5f55526d0f05f5b8a6df51b7359412a38d05fef53c,1,2,35.17,35.17,70.34,35.17,17.585,0,0,0,0,0
1093bcb13c9654f74e1075affd338af117979bfd1446c9c763560c384744841c,1,1,0.01,0.01,0.02,0.01,0.01,0,0,0,0,0
4fefbb015a9e2a3de3a20d2b80c23a6c8263489b53733b981ed683d0bd29e909,1,1,0.01,0.01,0.02,0.01,0.01,0,0,0,0,0
c93dde04635a241cdaa6184468f198ed0e28c6e515e80166f606f323e7e90ff3,1,1,0.01,0.01,0.02,0.01,0.01,0,0,0,0,0
a5a1be987c05f39ae506bdf0fb6a3c11a7e4111cbca44ad9b9f341ad41ca4c58,1,1,0.06,0.06,0.12,0.06,0.06,0,0,0,0,0
65013305406701218745dd34cb5db2beb775f68c5e57e253ae858952f167c9d1,1,2,50.0,50.0,100.0,50.0,25.0,0,0,0,0,0
9b4f761b291be0251f871d8b5552da13787cc83580e30c2ee74f88adb2743e96,1,2,89.49,89.49000000000001,178.98000000000002,89.49,44.745000000000005,0,0,0,0,0
12918311950c1a7bae8edf053340ae297ca054328985cbff44a323d9c12add9a,1,1,49.66,49.5,99.16,49.66,49.5,0,0,0,0,0
362ef8d10ed30c8322976460519ed332cd91ff4995b6f8b1987e035c732043c7,1,1,0.01,0.01,0.02,0.01,0.01,0,0,0,0,0
91e162ad902ad59d9807b34b75450bb871ac0f12b46d3b2e18dcd3feff083897,2,2,7.42049414,7.420494140000001,14.84098828,3.71024707,3.71024707,0,0,0,0,0
f9ba7a4a0dfc717f8fa6e1b8f237a7e0120c5010e2dcdb7eacfbffe67ff865d7,1,1,0.01,0.01,0.02,0.01,0.01,0,0,0,0,0
050c837e3e14c4d23c22cbce586798c3646008e434a1147c900ec25ca6c933c4,1,1,199.0,198.95,397.9500000000001,199.0,198.95,0,0,0,0,0
9f52f592b3a2c4ab96ae8edc1883b2faaecc40dbf4f5fbe06cd9590d3459e754,1,1,2.7,2.41,5.11,2.7,2.41,0,0,0,0,0
b29de4dfe38223c8bd31c3378e0e53faf4c0f0aa9008eed1f671957104554cdb,1,1,6.9975000000000005,6.9375,13.935,6.9975000000000005,6.9375,0,0,0,0,0
a980651f30ae9835452c061986b1f9e85876252d85be82b8e069c0ac25afcc06,1,1,20.0,20.0,40.0,20.0,20.0,0,0,0,0,0
301cb95d71c0b7137f86c933768ea7a27025a7fbb0a51dff27996f57636fa83b,1,2,1.25,1.25,2.5,1.25,0.625,0,0,0,0,0
cacd2510eb855880f234c7247516cf6b86823f69161a165860f043b2188b68c1,1,1,0.01,0.01,0.02,0.01,0.01,0,0,0,0,0
3d4269cb311d48759c1c187884f7583c41c6068bf3b0db13504f75600d173d6c,1,1,50.0,50.0,100.0,50.0,50.0,0,0,0,0,0
98e61c72d9faa2e57dee55c66164a4289988a02992dcba95eec3c3128e6a665e,1,1,124.13,124.08,248.21,124.13,124.08,0,0,0,0,0
